"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN50P400X400X100-21N";1;"MCP73871-2CAI_ML";;;
2;"TP2";"TestPoint_Pad_D1.0mm";1;"MISO_DO";;;
3;"R10,R11,R8,R12,R7,R9";"R_0805_2012Metric";6;"470";;;
4;"MK1";"CUI_CMC-5042PF-AC";1;"CMC-5042PF-AC";;;
5;"C20,C13,C16,C18,C10,C21,C14,C8,C15,C5,C2";"C_0805_2012Metric";11;"0.1u";;;
6;"TP3";"TestPoint_Pad_D1.0mm";1;"SCLK";;;
7;"U7";"PSON65P250X250X100-8N";1;"BME280";;;
8;"S2";"SW_USLPT2819DT2TR";1;"Reset";;;
9;"R30,R27,R32,R3,R4,R31,R22";"R_0805_2012Metric";7;"10K";;;
10;"R20";"R_0805_2012Metric";1;"10k";;;
11;"R23,R26";"R_0805_2012Metric";2;"1M";;;
12;"R25,R24,R5";"R_0805_2012Metric";3;"2K";;;
13;"TP4";"TestPoint_Pad_D1.0mm";1;"CD_SD";;;
14;"R1,R2";"R_0805_2012Metric";2;"5k1";;;
15;"C4,C7,C3,C12";"CAPC3216X110N";4;"10u";;;
16;"U6";"SOIC127P790X216-8N";1;"W25Q32JVSSIQ";;;
17;"R15";"R_0805_2012Metric";1;"1K";;;
18;"U3";"MODULE_ESP32-C3-WROOM-02-H4";1;"ESP32-C3-WROOM-02-H4";;;
19;"Q1";"TRANS_TEMT6000X01";1;"TEMT6000X01";;;
20;"F1";"FUSC3225X100N";1;"0ZCH0110AF2E";;;
21;"D3,D5";"LED_LTST-C170GKT";2;"LED-G";;;
22;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
23;"R18,R17,R19,R16";"R_0805_2012Metric";4;"50";;;
24;"D6,D2,D4";"DIOC200X125X110";3;"LED-R";;;
25;"Q3,Q2";"SOT95P240X120-3N";2;"BC817-40";;;
26;"R13";"R_0805_2012Metric";1;"47k5";;;
27;"U5";"SOT-666";1;"USBLC6-2P6";;;
28;"U8";"SOT65P210X110-5N";1;"MAX4466EXK";;;
29;"J1";"BELFUSE_SS-52400-002";1;"SS-52400-002";;;
30;"C19,C6,C11,C22";"C_0805_2012Metric";4;"1u";;;
31;"C9";"CAPC3216X110N";1;"4.7u";;;
32;"TP5";"TestPoint_Pad_D1.0mm";1;"CS";;;
33;"J3";"AMPHENOL_GSD090012SEU";1;"GSD090012SEU";;;
34;"U4";"WFQFN-20";1;"CP2102N-A02-GQFN20R";;;
35;"R29,R28";"R_0805_2012Metric";2;"4k7";;;
36;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
37;"J2";"TE_177537-2";1;"177537-2";;;
38;"R21";"R_0805_2012Metric";1;"100K";;;
39;"D1";"DIOC200X125X110";1;"LED-B";;;
40;"C1";"C_0805_2012Metric";1;"0.1";;;
41;"U2";"VREG_LM1117MPX-3.3_NOPB";1;"LM1117MPX-3.3_NOPB";;;
42;"TP1";"TestPoint_Pad_D1.0mm";1;"MOSI_DI";;;
43;"R14";"R_0805_2012Metric";1;"22k1";;;
44;"R6";"R_0805_2012Metric";1;"20K";;;
45;"S1";"SW_USLPT2819DT2TR";1;"Boot";;;
